Name,Address,Phone_No,Phone_No_2,Opening_Hours,Facilities,Disability_Access,Parking,Latitude,Longitude,On-premise disability parking 
Manly Pool,"1 Fairlead Crescent, Manly",3396 2578,,"SUMMER HOURS 
Monday to Friday: 5.30am-7pm
Saturday: 6am-6pm
Sunday: 8am-6pm
Public holidays: 9am-5pm. Closed: Christmas Day and Good Friday.

WINTER HOURS 
Monday to Thursday: 5.30am-7pm
Friday: 5.30am-6pm
Saturday: 6am-4pm
Sunday: 8am-4pm
Public holidays: closed

Winter slide hours displayed at pool.","Disabled Access/Facilities, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons, Wading pool, Water play",Yes,Car parks available; Public transport,-27.452285,153.187437,Yes
Mt Gravatt East Swimming Pool,"35 Wecker Road , Mt Gravatt East",3216 8730,,"SUMMER HOURS 
Monday to Friday: 5.30am-7pm
Saturday and Sunday: 7am-6pm
Public holidays: 9am-5pm
Closed Christmas Day and Good Friday

WINTER HOURS 
Monday to Friday: 6am-7pm
Saturday: 7am-2pm
Sunday: 7am-2pm
Public holidays: Closed","Disabled Access/Facilities, Gym, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons",Yes,Car park available; Public transport,-27.532135,153.094289,Yes
Musgrave Park Pool (South Brisbane),"100 Edmonstone Street, South Brisbane",3844 3858,,"SUMMER HOURS POOL - CURRENTLY CLOSED DUE TO UPGRADE REOPENS 2020
Monday to Friday: 5.30am-7pm
Saturday and Sunday: 8am-6pm
Public holidays: 9am-5pm
Closed Christmas Day and Good Friday
Pool closed for Winter","Aqua aerobics, Kiosk, Lifeguards, Outdoor pool, Wading pool, Water play, Water Polo",No,Public Transport: Sth Brisbane Train Station,-27.479777,153.016806,No
Newmarket Olympic Swimming Pool,"71 Alderson Street, Newmarket",3356 8434,,"SUMMER HOURS (opens 17 September)
Monday to Thursday: 5.30am-7pm
Friday: 5.30am-6pm 
Saturday and Sunday: 8am-6pm
Public holidays: 9am-5pm
Closed Christmas Day and Good Friday

WINTER HOURS: Check with venue for Indoor Pool public availability.","Barbeques, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons, Wading pool, Water play",Yes,Car park available. Public transport: Bus & train,-27.42968,153.006206,Yes
Parkinson Aquatic Centre,"751 Algester Road, Parkinson",3054 4385,,"SUMMER HOURS 
Monday to Thursday: 5.30am-8pm
Friday: 5.30am-6pm
Saturday: 7.30am-6pm
Sunday: 8am-6pm
Public holidays: 9am-5pm. Closed Christmas Day, Good Friday and Anzac Day.","Aqua aerobics, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Swimming lessons",Yes,Cark park available,-27.639954,153.038668,Yes
Runcorn Pool,"37 Bonemill Road, Runcorn",3054 4382,,"SUMMER HOURS 
Monday to Thursday: 5.30am-8pm
Friday: 5.30am-6pm
Saturday: 6am - 6pm  Sunday: 8am-6pm
Public holidays: 9am-5pm. Closed Christmas Day, Good Friday and Anzac Day.","Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons, Wading pool, Water play Aqua Park",Yes,Car park available,-27.591561,153.076415,Yes
Sandgate Aquatic Centre,"231 Flinders Parade, Sandgate",3269 7946,,"SUMMER HOURS 
Monday to Friday: 5.30am-7pm  
Saturday: 6am-6pm
Sunday: 8am-6pm
Public holidays: 9am-5pm
Closed Christmas Day and Good Friday"," Kiosk, Lifeguards, Outdoor pool, Indoor heated 25m pool, Wading pool, Water play",No,Car Park available; Public Transport: Train,-27.311956,153.069098,Yes
Spring Hill Baths (Inner City),"14 Torrington Street, Springhill",3054 4359,,"SUMMER HOURS  
Monday to Thursday: 6:30am-7pm
Friday: 6:30am-6pm
Saturday and Sunday: 8am-5pm
Public holidays: 9am-5pm. Closed Christmas Day, Good Friday, Easter Monday. 

WINTER HOURS  
Monday to Thursday: 6:30am-7pm
Friday: 6:30am-6pm
Saturday: 8am-5pm
Sunday: 8am-1pm
Public holidays: 9am-5pm. Closed Christmas Day, Good Friday, Anzac Day, Queen's Birthday and Qld Show Day.","Aqua-aerobics, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Swimming lessons",No,On Street Parking,-27.459596,153.021548,No
Valley Pool (Fortitude Valley),"432 Wickham Street, Fortitude Valley",3852 1231,,"SUMMER HOURS 
Monday to Friday: 5am-7.30pm
Saturday: 5am-6pm
Sunday and public holidays: 7.30am-6pm
Closed Christmas Day and Good Friday

WINTER HOURS 
Monday to Thursday: 5.15am-7.30pm
Friday: 5.15am-7pm
Saturday: 5.15am-5pm
Sunday: 7.30am-5pm
Public holidays: 9am-5pm","Disabled Access/Facilities, Gym, Heated pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Water Polo",Yes,Public transport: Train,-27.4539,153.0368,No
Yeronga Park Memorial Pool,"55 School Road, Yeronga",3848 8575,,"SUMMER HOURS
Monday to Thursday: 5am-7.30pm
Friday: 5am-7pm
Saturday: 5.30am-6pm
Sunday: 7.30am-6pm
Public holidays: 9am-5pm
Closed Christmas Day and Anzac Day

WINTER HOURS 
Monday to Thursday: 5.30am-7.00pm
Friday: 5.30am-6pm
Saturday: 6am-1pm
Sunday: 8am-1pm
Public holidays: 9am-1pm. Closed Anzac Day.

Note: During winter the mushroom wading pool will be closed.","Aqua aerobics, Disabled Access/Facilities, Heated pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Wading pool, Water play, Water Polo",Yes,Car park available; Public transport: Bus & train,-27.520527,153.018544,Yes
