AAA(t),AAA(t-1),AAA(t-2),deltaAAA(t),deltaAAA(t-1),AAp(t),AAp(t-1),AAp(t-2),deltaAAp(t),deltaAAp(t-1),AA(t),AA(t-1),AA(t-2),deltaAA(t),deltaAA(t-1),AAm(t),AAm(t-1),AAm(t-2),deltaAAm(t),deltaAAm(t-1),Ap(t),Ap(t-1),Ap(t-2),deltaAp(t),deltaAp(t-1),A(t),A(t-1),A(t-2),deltaA(t),deltaA(t-1),Am(t),Am(t-1),Am(t-2),deltaAm(t),deltaAm(t-1),volatility_t,volatility_t-1,delta_v
0.608,0.604,0.604,0.004,0,0.688,0.684,0.684,0.004,0,0.728,0.724,0.724,0.004,0,0.758,0.754,0.744,0.004,0.01,0.938,0.934,0.934,0.004,0,1.208,1.204,1.194,0.004,0.01,1.618,1.614,1.614,0.004,0,-3.39,-9.2,5.81
0.604,0.604,0.6,0,0.004,0.684,0.684,0.68,0,0.004,0.724,0.724,0.72,0,0.004,0.754,0.744,0.75,0.01,-0.006,0.934,0.934,0.93,0,0.004,1.204,1.194,1.2,0.01,-0.006,1.614,1.614,1.61,0,0.004,-9.2,10.74,-19.94
0.604,0.6,0.614,0.004,-0.014,0.684,0.68,0.654,0.004,0.026,0.724,0.72,0.694,0.004,0.026,0.744,0.75,0.714,-0.006,0.036,0.934,0.93,0.904,0.004,0.026,1.194,1.2,1.164,-0.006,0.036,1.614,1.61,1.584,0.004,0.026,10.74,0.82,9.92
0.6,0.614,0.596,-0.014,0.018,0.68,0.654,0.636,0.026,0.018,0.72,0.694,0.666,0.026,0.028,0.75,0.714,0.696,0.036,0.018,0.93,0.904,0.886,0.026,0.018,1.2,1.164,1.146,0.036,0.018,1.61,1.584,1.566,0.026,0.018,0.82,-11.24,12.06
0.614,0.596,0.573,0.018,0.023,0.654,0.636,0.613,0.018,0.023,0.694,0.666,0.643,0.028,0.023,0.714,0.696,0.673,0.018,0.023,0.904,0.886,0.863,0.018,0.023,1.164,1.146,1.123,0.018,0.023,1.584,1.566,1.543,0.018,0.023,-11.24,10.82,-22.06
0.596,0.573,0.548,0.023,0.025,0.636,0.613,0.578,0.023,0.035,0.666,0.643,0.618,0.023,0.025,0.696,0.673,0.638,0.023,0.035,0.886,0.863,0.828,0.023,0.035,1.146,1.123,1.088,0.023,0.035,1.566,1.543,1.508,0.023,0.035,10.82,-5.54,16.36
0.573,0.548,0.534,0.025,0.014,0.613,0.578,0.554,0.035,0.024,0.643,0.618,0.594,0.025,0.024,0.673,0.638,0.624,0.035,0.014,0.863,0.828,0.814,0.035,0.014,1.123,1.088,1.074,0.035,0.014,1.543,1.508,1.494,0.035,0.014,-5.54,-15.62,10.08
0.548,0.534,0.511,0.014,0.023,0.578,0.554,0.541,0.024,0.013,0.618,0.594,0.571,0.024,0.023,0.638,0.624,0.601,0.014,0.023,0.828,0.814,0.791,0.014,0.023,1.088,1.074,1.051,0.014,0.023,1.508,1.494,1.471,0.014,0.023,-15.62,-4.02,-11.6
0.534,0.511,0.508,0.023,0.003,0.554,0.541,0.528,0.013,0.013,0.594,0.571,0.568,0.023,0.003,0.624,0.601,0.598,0.023,0.003,0.814,0.791,0.788,0.023,0.003,1.074,1.051,1.048,0.023,0.003,1.494,1.471,1.468,0.023,0.003,-4.02,-5.52,1.5
0.511,0.508,0.5,0.003,0.008,0.541,0.528,0.53,0.013,-0.002,0.571,0.568,0.57,0.003,-0.002,0.601,0.598,0.59,0.003,0.008,0.791,0.788,0.78,0.003,0.008,1.051,1.048,1.04,0.003,0.008,1.471,1.468,1.46,0.003,0.008,-5.52,2.99,-8.51
0.508,0.5,0.502,0.008,-0.002,0.528,0.53,0.532,-0.002,-0.002,0.568,0.57,0.572,-0.002,-0.002,0.598,0.59,0.592,0.008,-0.002,0.788,0.78,0.782,0.008,-0.002,1.048,1.04,1.042,0.008,-0.002,1.468,1.46,1.462,0.008,-0.002,2.99,-11.45,14.44
0.5,0.502,0.51,-0.002,-0.008,0.53,0.532,0.53,-0.002,0.002,0.57,0.572,0.57,-0.002,0.002,0.59,0.592,0.6,-0.002,-0.008,0.78,0.782,0.78,-0.002,0.002,1.04,1.042,1.05,-0.002,-0.008,1.46,1.462,1.46,-0.002,0.002,-11.45,0.38,-11.83
0.502,0.51,0.493,-0.008,0.017,0.532,0.53,0.513,0.002,0.017,0.572,0.57,0.553,0.002,0.017,0.592,0.6,0.583,-0.008,0.017,0.782,0.78,0.763,0.002,0.017,1.042,1.05,1.033,-0.008,0.017,1.462,1.46,1.443,0.002,0.017,0.38,3.53,-3.15
0.51,0.493,0.439,0.017,0.054,0.53,0.513,0.459,0.017,0.054,0.57,0.553,0.499,0.017,0.054,0.6,0.583,0.529,0.017,0.054,0.78,0.763,0.709,0.017,0.054,1.05,1.033,0.979,0.017,0.054,1.46,1.443,1.389,0.017,0.054,3.53,6.97,-3.44
0.493,0.439,0.453,0.054,-0.014,0.513,0.459,0.473,0.054,-0.014,0.553,0.499,0.513,0.054,-0.014,0.583,0.529,0.543,0.054,-0.014,0.763,0.709,0.733,0.054,-0.024,1.033,0.979,0.993,0.054,-0.014,1.443,1.389,1.413,0.054,-0.024,6.97,-8.29,15.26
0.439,0.453,0.437,-0.014,0.016,0.459,0.473,0.457,-0.014,0.016,0.499,0.513,0.497,-0.014,0.016,0.529,0.543,0.527,-0.014,0.016,0.709,0.733,0.717,-0.024,0.016,0.979,0.993,0.977,-0.014,0.016,1.389,1.413,1.397,-0.024,0.016,-8.29,-13.95,5.66
0.453,0.437,0.443,0.016,-0.006,0.473,0.457,0.463,0.016,-0.006,0.513,0.497,0.503,0.016,-0.006,0.543,0.527,0.533,0.016,-0.006,0.733,0.717,0.723,0.016,-0.006,0.993,0.977,0.983,0.016,-0.006,1.413,1.397,1.403,0.016,-0.006,-13.95,2.91,-16.86
0.437,0.443,0.407,-0.006,0.036,0.457,0.463,0.437,-0.006,0.026,0.497,0.503,0.467,-0.006,0.036,0.527,0.533,0.497,-0.006,0.036,0.717,0.723,0.687,-0.006,0.036,0.977,0.983,0.947,-0.006,0.036,1.397,1.403,1.367,-0.006,0.036,2.91,-12.29,15.2
0.443,0.407,0.41,0.036,-0.003,0.463,0.437,0.43,0.026,0.007,0.503,0.467,0.47,0.036,-0.003,0.533,0.497,0.5,0.036,-0.003,0.723,0.687,0.69,0.036,-0.003,0.983,0.947,0.95,0.036,-0.003,1.403,1.367,1.37,0.036,-0.003,-12.29,10.25,-22.54
0.407,0.41,0.36,-0.003,0.05,0.437,0.43,0.38,0.007,0.05,0.467,0.47,0.42,-0.003,0.05,0.497,0.5,0.45,-0.003,0.05,0.687,0.69,0.64,-0.003,0.05,0.947,0.95,0.9,-0.003,0.05,1.367,1.37,1.32,-0.003,0.05,10.25,-2.62,12.87
0.41,0.36,0.321,0.05,0.039,0.43,0.38,0.351,0.05,0.029,0.47,0.42,0.391,0.05,0.029,0.5,0.45,0.411,0.05,0.039,0.69,0.64,0.601,0.05,0.039,0.95,0.9,0.861,0.05,0.039,1.37,1.32,1.281,0.05,0.039,-2.62,-0.11,-2.51
0.36,0.321,0.351,0.039,-0.03,0.38,0.351,0.371,0.029,-0.02,0.42,0.391,0.411,0.029,-0.02,0.45,0.411,0.441,0.039,-0.03,0.64,0.601,0.621,0.039,-0.02,0.9,0.861,0.891,0.039,-0.03,1.32,1.281,1.301,0.039,-0.02,-0.11,-0.11,0
