date,국고채 3년 수익률,국고채 1년 수익률,변동성 지수(VKOSPI),AAA,AA+,AA,AA-,A+,A,A-,AAA spread,AA+ spread,AA spread,AA- spread,A+ spread,A spread,A- spread,<- 3년 만기 무보증 사채 기준
2020-05-15,0.874,0.784,0.63,1.41,1.55,1.59,1.63,1.82,2.08,2.5,0.536,0.676,0.716,0.756,0.946,1.206,1.626,
2020-05-14,0.869,0.786,4.04,1.41,1.55,1.59,1.63,1.82,2.08,2.5,0.541,0.681,0.721,0.761,0.951,1.211,1.631,
2020-05-13,0.856,0.78,-7.34,1.4,1.54,1.58,1.62,1.81,2.07,2.49,0.544,0.684,0.724,0.764,0.954,1.214,1.634,
2020-05-12,0.886,0.799,-5.25,1.43,1.56,1.6,1.64,1.83,2.09,2.51,0.544,0.674,0.714,0.754,0.944,1.204,1.624,
2020-05-11,0.926,0.821,1.95,1.47,1.6,1.65,1.69,1.87,2.14,2.55,0.544,0.674,0.724,0.764,0.944,1.214,1.624,
2020-05-08,0.914,0.819,-8.11,1.45,1.58,1.63,1.67,1.85,2.12,2.53,0.536,0.666,0.716,0.756,0.936,1.206,1.616,
2020-05-07,0.946,0.834,-1.57,1.49,1.61,1.65,1.69,1.88,2.14,2.56,0.544,0.664,0.704,0.744,0.934,1.194,1.614,
2020-05-06,0.96,0.845,-12.51,1.52,1.63,1.67,1.71,1.9,2.16,2.58,0.56,0.67,0.71,0.75,0.94,1.2,1.62,
2020-05-04,0.975,0.856,19.17,1.53,1.64,1.69,1.72,1.91,2.17,2.59,0.555,0.665,0.715,0.745,0.935,1.195,1.615,
2020-04-29,1.006,0.872,-6.53,1.57,1.68,1.72,1.76,1.95,2.21,2.63,0.564,0.674,0.714,0.754,0.944,1.204,1.624,
2020-04-28,1.033,0.879,-7.14,1.59,1.7,1.74,1.78,1.97,2.23,2.65,0.557,0.667,0.707,0.747,0.937,1.197,1.617,
2020-04-27,1.026,0.878,-6.37,1.59,1.69,1.74,1.78,1.96,2.23,2.64,0.564,0.664,0.714,0.754,0.934,1.204,1.614,
2020-04-24,1.018,0.873,8.94,1.58,1.68,1.72,1.76,1.95,2.21,2.63,0.562,0.662,0.702,0.742,0.932,1.192,1.612,
2020-04-23,1.036,0.884,-5.72,1.6,1.7,1.74,1.78,1.97,2.23,2.65,0.564,0.664,0.704,0.744,0.934,1.194,1.614,
2020-04-22,1.046,0.893,0.05,1.62,1.72,1.76,1.79,1.98,2.24,2.66,0.574,0.674,0.714,0.744,0.934,1.194,1.614,
2020-04-21,1.035,0.886,9.73,1.62,1.71,1.75,1.78,1.97,2.23,2.65,0.585,0.675,0.715,0.745,0.935,1.195,1.615,
2020-04-20,1.013,0.876,5.88,1.6,1.7,1.73,1.76,1.95,2.21,2.63,0.587,0.687,0.717,0.747,0.937,1.197,1.617,
2020-04-17,1.006,0.879,-9.71,1.6,1.69,1.73,1.76,1.94,2.21,2.62,0.594,0.684,0.724,0.754,0.934,1.204,1.614,
2020-04-16,0.982,0.868,-3.39,1.59,1.67,1.71,1.74,1.92,2.19,2.6,0.608,0.688,0.728,0.758,0.938,1.208,1.618,
2020-04-14,0.996,0.871,-9.2,1.6,1.68,1.72,1.75,1.93,2.2,2.61,0.604,0.684,0.724,0.754,0.934,1.204,1.614,
2020-04-13,0.996,0.867,10.74,1.6,1.68,1.72,1.74,1.93,2.19,2.61,0.604,0.684,0.724,0.744,0.934,1.194,1.614,
2020-04-10,0.97,0.856,0.82,1.57,1.65,1.69,1.72,1.9,2.17,2.58,0.6,0.68,0.72,0.75,0.93,1.2,1.61,
2020-04-09,0.986,0.862,-11.24,1.6,1.64,1.68,1.7,1.89,2.15,2.57,0.614,0.654,0.694,0.714,0.904,1.164,1.584,
2020-04-08,1.024,0.891,10.82,1.62,1.66,1.69,1.72,1.91,2.17,2.59,0.596,0.636,0.666,0.696,0.886,1.146,1.566,
2020-04-07,1.047,0.911,-5.54,1.62,1.66,1.69,1.72,1.91,2.17,2.59,0.573,0.613,0.643,0.673,0.863,1.123,1.543,
2020-04-06,1.052,0.928,-15.62,1.6,1.63,1.67,1.69,1.88,2.14,2.56,0.548,0.578,0.618,0.638,0.828,1.088,1.508,
2020-04-03,1.066,0.95,-4.02,1.6,1.62,1.66,1.69,1.88,2.14,2.56,0.534,0.554,0.594,0.624,0.814,1.074,1.494,
2020-04-02,1.059,0.959,-5.52,1.57,1.6,1.63,1.66,1.85,2.11,2.53,0.511,0.541,0.571,0.601,0.791,1.051,1.471,
2020-04-01,1.092,0.984,2.99,1.6,1.62,1.66,1.69,1.88,2.14,2.56,0.508,0.528,0.568,0.598,0.788,1.048,1.468,
2020-03-31,1.07,0.989,-11.45,1.57,1.6,1.64,1.66,1.85,2.11,2.53,0.5,0.53,0.57,0.59,0.78,1.04,1.46,
2020-03-30,1.098,1.005,0.38,1.6,1.63,1.67,1.69,1.88,2.14,2.56,0.502,0.532,0.572,0.592,0.782,1.042,1.462,
2020-03-27,1.06,0.993,3.53,1.57,1.59,1.63,1.66,1.84,2.11,2.52,0.51,0.53,0.57,0.6,0.78,1.05,1.46,
2020-03-26,1.067,0.995,6.97,1.56,1.58,1.62,1.65,1.83,2.1,2.51,0.493,0.513,0.553,0.583,0.763,1.033,1.443,
2020-03-25,1.131,1.013,-8.29,1.57,1.59,1.63,1.66,1.84,2.11,2.52,0.439,0.459,0.499,0.529,0.709,0.979,1.389,
2020-03-24,1.127,1.015,-13.95,1.58,1.6,1.64,1.67,1.86,2.12,2.54,0.453,0.473,0.513,0.543,0.733,0.993,1.413,
2020-03-23,1.153,1.041,2.91,1.59,1.61,1.65,1.68,1.87,2.13,2.55,0.437,0.457,0.497,0.527,0.717,0.977,1.397,
2020-03-20,1.107,1.019,-12.29,1.55,1.57,1.61,1.64,1.83,2.09,2.51,0.443,0.463,0.503,0.533,0.723,0.983,1.403,
2020-03-19,1.193,1.066,10.25,1.6,1.63,1.66,1.69,1.88,2.14,2.56,0.407,0.437,0.467,0.497,0.687,0.947,1.367,
2020-03-18,1.05,0.982,-2.62,1.46,1.48,1.52,1.55,1.74,2,2.42,0.41,0.43,0.47,0.5,0.69,0.95,1.37,
