delta_v,delta_treasury(3Y)t,delta_treasury(3Y)t-1,delta_treasury(1Y)t,delta_treasury(1Y)t-1,deltaAAAt,deltaAAAt-1,deltaAAplt,deltaAAplt-1,deltaAAmit,deltaAAmit-1,deltaAplt,deltaAplt-1,deltaAt,deltaAt-1,deltaAmit,deltaAmit-1,deltaAAt,deltaAAt-1
0,-0.03,0.026,-0.012,0.01,0.03,-0.026,0.03,-0.026,0.03,-0.026,0.03,-0.026,0.03,-0.026,0.03,-0.026,0.03,-0.026
0.00063,0.003,-0.03,-0.004,-0.012,-0.003,0.03,-0.003,0.03,-0.003,0.03,-0.003,0.03,-0.003,0.03,-0.003,0.03,-0.003,0.03
0.00031,-0.005,0.003,0.001,-0.004,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003
0.00047,0.015,-0.005,-0.009,0.001,-0.015,0.005,-0.015,0.005,-0.015,0.005,-0.015,0.005,-0.015,0.005,-0.015,0.005,-0.015,0.005
-0.00078,0,0.015,0.013,-0.009,0,-0.015,0,-0.015,0,-0.015,0,-0.015,0,-0.015,0,-0.015,0,-0.015
-0.00027,-0.002,0,-0.005,0.013,0.002,0,0.002,0,0.002,0,0.002,0,0.002,0,0.002,0,0.002,0
0.00181,-0.002,-0.002,0,-0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
-1.00E-04,-0.027,-0.002,0.002,0,0.027,0.002,0.027,0.002,0.027,0.002,0.027,0.002,0.027,0.002,0.027,0.002,0.027,0.002
0.00191,-0.006,-0.027,-0.008,0.002,0.006,0.027,0.006,0.027,0.006,0.027,0.006,0.027,0.006,0.027,0.006,0.027,0.006,0.027
-7.00E-05,0.01,-0.006,0,-0.008,-0.04,0.006,-0.04,0.006,-0.04,0.006,-0.04,0.006,-0.04,0.006,-0.04,0.006,-0.04,0.006
0.00062,0,0.01,0.001,0,0,-0.04,0,-0.04,0,-0.04,0,-0.04,0,-0.04,0,-0.04,0,-0.04
0.00079,-0.022,0,-0.006,0.001,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0
2.00E-05,0.005,-0.022,0.001,-0.006,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022
-0.00013,0.014,0.005,0.007,0.001,-0.014,-0.015,-0.014,-0.015,-0.014,-0.015,-0.014,-0.015,-0.014,-0.015,-0.014,-0.015,-0.014,-0.015
0.00017,-0.054,0.014,0.006,0.007,0.054,-0.014,0.054,-0.014,0.054,-0.014,0.054,-0.014,0.054,-0.014,0.054,-0.014,0.054,-0.014
0.00039,-0.039,-0.054,-0.065,0.006,0.029,0.054,0.029,0.054,0.029,0.054,0.029,0.054,0.029,0.054,0.029,0.054,0.029,0.054
0.0003,-0.009,-0.039,-0.012,-0.065,0.009,0.029,0.009,0.029,0.009,0.029,0.009,0.029,0.009,0.029,0.009,0.029,0.009,0.029
0.00102,-0.02,-0.009,-0.016,-0.012,0.02,0.009,0.02,0.009,0.02,0.009,0.02,0.009,0.02,0.009,0.02,0.009,0.02,0.009
-0.00017,-0.002,-0.02,0.002,-0.016,0.002,0.02,0.002,0.02,0.002,0.02,0.002,0.02,0.002,0.02,0.002,0.02,0.002,0.02
0.00357,0.012,-0.002,-0.007,0.002,-0.012,0.002,-0.012,0.002,-0.012,0.002,-0.012,0.002,-0.012,0.002,-0.012,0.002,-0.012,0.002
0.00017,-0.056,0.012,-0.046,-0.007,0.056,-0.012,0.056,-0.012,0.056,-0.012,0.056,-0.012,0.056,-0.012,0.056,-0.012,0.056,-0.012
0.0006,0.025,-0.056,0.012,-0.046,-0.025,0.056,-0.025,0.056,-0.025,0.056,-0.025,0.056,-0.025,0.056,-0.025,0.056,-0.025,0.056
0.0007,0.009,0.025,0.017,0.012,-0.019,-0.025,-0.019,-0.025,-0.019,-0.025,-0.019,-0.025,-0.019,-0.025,-0.019,-0.025,-0.019,-0.025
-1.00E-05,-0.053,0.009,-0.032,0.017,0.053,-0.019,0.053,-0.019,0.053,-0.019,0.053,-0.019,0.053,-0.019,0.053,-0.019,0.053,-0.019
0.00025,0.004,-0.053,-0.007,-0.032,-0.004,0.053,-0.004,0.053,-0.004,0.053,-0.004,0.053,-0.004,0.053,-0.004,0.053,-0.004,0.053
-0.00027,0.016,0.004,0.007,-0.007,-0.016,-0.004,-0.016,-0.004,-0.016,-0.004,-0.016,-0.004,-0.016,-0.004,-0.016,-0.004,-0.016,-0.004
-0.00028,0.017,0.016,-0.004,0.007,-0.017,-0.016,-0.017,-0.016,-0.017,-0.016,-0.017,-0.016,-0.017,-0.016,-0.017,-0.016,-0.017,-0.016
-1.00E-05,0.012,0.017,0.025,-0.004,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017
-2.00E-05,0.001,0.012,-0.002,0.025,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012
-0.00015,-0.012,0.001,0.014,-0.002,0.012,-0.001,0.012,-0.001,0.012,-0.001,0.012,-0.001,0.012,-0.001,0.012,-0.001,0.012,-0.001
0,-0.005,-0.012,-0.01,0.014,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012
-9.00E-05,-0.012,-0.005,-0.001,-0.01,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005
0.00076,0.002,-0.012,-0.002,-0.001,-0.002,0.012,-0.002,0.012,-0.002,0.012,-0.002,0.012,-0.002,0.012,-0.002,0.012,-0.002,0.012
0.0001,0.015,0.002,0.006,-0.002,-0.015,-0.002,-0.015,-0.002,-0.015,-0.002,-0.015,-0.002,-0.015,-0.002,-0.015,-0.002,-0.015,-0.002
0,0.035,0.015,0.015,0.006,-0.035,-0.015,-0.035,-0.015,-0.035,-0.015,-0.035,-0.015,-0.035,-0.015,-0.035,-0.015,-0.035,-0.015
0.00012,0.018,0.035,0.012,0.015,-0.018,-0.035,-0.018,-0.035,-0.018,-0.035,-0.018,-0.035,-0.018,-0.035,-0.018,-0.035,-0.018,-0.035
-0.00011,-0.02,0.018,0.001,0.012,0.02,-0.018,0.02,-0.018,0.02,-0.018,0.02,-0.018,0.02,-0.018,0.02,-0.018,0.02,-0.018
-0.0005,-0.021,-0.02,-0.013,0.001,0.021,0.02,0.021,0.02,0.021,0.02,0.021,0.02,0.021,0.02,0.021,0.02,0.021,0.02
0.00029,-0.011,-0.021,-0.014,-0.013,0.011,0.021,0.011,0.021,0.011,0.021,0.011,0.021,0.011,0.021,0.011,0.021,0.011,0.021
1.00E-05,0.03,-0.011,0.009,-0.014,-0.03,0.011,-0.03,0.011,-0.03,0.011,-0.03,0.011,-0.03,0.011,-0.03,0.011,-0.03,0.011
-0.00012,0.05,0.03,0.022,0.009,-0.05,-0.03,-0.05,-0.03,-0.05,-0.03,-0.05,-0.03,-0.05,-0.03,-0.05,-0.03,-0.05,-0.03
-0.00028,-0.018,0.05,0.029,0.022,0.018,-0.05,0.018,-0.05,0.018,-0.05,0.018,-0.05,0.018,-0.05,0.018,-0.05,0.018,-0.05
1.00E-05,0.001,-0.018,-0.001,0.029,-0.001,0.018,-0.001,0.018,-0.001,0.018,-0.001,0.018,-0.001,0.018,-0.001,0.018,-0.001,0.018
-0.00165,0.009,0.001,0.015,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001
2.00E-05,-0.027,0.009,-0.019,0.015,0.027,-0.009,0.027,-0.009,0.027,-0.009,0.027,-0.009,0.027,-0.009,0.027,-0.009,0.027,-0.009
0.00025,-0.016,-0.027,0,-0.019,0.016,0.027,0.016,0.027,0.016,0.027,0.016,0.027,0.016,0.027,0.016,0.027,0.016,0.027
-0.0002,-0.003,-0.016,-0.008,0,0.003,0.016,0.003,0.016,0.003,0.016,0.003,0.016,0.003,0.016,0.003,0.016,0.003,0.016
0,0.016,-0.003,0.012,-0.008,-0.016,0.003,-0.016,0.003,-0.016,0.003,-0.016,0.003,-0.016,0.003,-0.016,0.003,-0.016,0.003
7.00E-05,0,0.016,0.006,0.012,0,-0.016,0,-0.016,0,-0.016,0,-0.016,0,-0.016,0,-0.016,0,-0.016
0,-0.012,0,-0.012,0.006,0.012,0,0.012,0,0.012,0,0.012,0,0.012,0,0.012,0,0.012,0
-0.00018,-0.005,-0.012,0.003,-0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012,0.005,0.012
-0.00013,-0.016,-0.005,-0.005,0.003,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005
5.00E-05,-0.03,-0.016,-0.026,-0.005,0.03,0.016,0.03,0.016,0.03,0.016,0.03,0.016,0.03,0.016,0.03,0.016,0.03,0.016
-6.00E-05,0.001,-0.03,-0.015,-0.026,-0.001,0.03,-0.001,0.03,-0.001,0.03,-0.001,0.03,-0.001,0.03,-0.001,0.03,-0.001,0.03
0.00044,-0.006,0.001,0.013,-0.015,0.006,-0.001,0.006,-0.001,0.006,-0.001,0.006,-0.001,0.006,-0.001,0.006,-0.001,0.006,-0.001
0.00014,0.004,-0.006,-0.009,0.013,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006
7.00E-05,-0.008,0.004,-0.007,-0.009,0.008,-0.004,0.008,-0.004,0.008,-0.004,0.008,-0.004,0.008,-0.004,0.008,-0.004,0.008,-0.004
0.00013,0.013,-0.008,-0.004,-0.007,-0.013,0.008,-0.013,0.008,-0.013,0.008,-0.013,0.008,-0.013,0.008,-0.013,0.008,-0.013,0.008
1.00E-05,0.005,0.013,0.003,-0.004,-0.005,-0.013,-0.005,-0.013,-0.005,-0.013,-0.005,-0.013,-0.005,-0.013,-0.005,-0.013,-0.005,-0.013
-0.00014,0.01,0.005,0.001,0.003,-0.01,-0.005,-0.01,-0.005,-0.01,-0.005,-0.01,-0.005,-0.01,-0.005,-0.01,-0.005,-0.01,-0.005
-0.00044,-0.005,0.01,0,0.001,0.005,-0.01,0.005,-0.01,0.005,-0.01,0.005,-0.01,0.005,-0.01,0.005,-0.01,0.005,-0.01
-0.0001,0.003,-0.005,0.004,0,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005
0.00155,-0.001,0.003,0.003,0.004,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003
0,0.037,-0.001,0.021,0.003,-0.037,0.001,-0.037,0.001,-0.037,0.001,-0.037,0.001,-0.037,0.001,-0.037,0.001,-0.037,0.001
-9.00E-05,-0.008,0.037,0.002,0.021,0.008,-0.037,0.008,-0.037,0.008,-0.037,0.008,-0.037,0.008,-0.037,0.008,-0.037,0.008,-0.037
-0.00028,0.013,-0.008,-0.003,0.002,-0.013,0.008,-0.013,0.008,-0.013,0.008,-0.013,0.008,-0.013,0.008,-0.013,0.008,-0.013,0.008
1.00E-05,-0.006,0.013,0.023,-0.003,0.006,-0.013,0.006,-0.013,0.006,-0.013,0.006,-0.013,0.006,-0.013,0.006,-0.013,0.006,-0.013
0.00028,-0.027,-0.006,-0.016,0.023,0.027,0.006,0.027,0.006,0.027,0.006,0.027,0.006,0.027,0.006,0.027,0.006,0.027,0.006
4.00E-05,0.009,-0.027,0,-0.016,-0.009,0.027,-0.009,0.027,-0.009,0.027,-0.009,0.027,-0.009,0.027,-0.009,0.027,-0.009,0.027
-0.00062,-0.011,0.009,0.005,0,0.011,-0.009,0.011,-0.009,0.011,-0.009,0.011,-0.009,0.011,-0.009,0.011,-0.009,0.011,-0.009
-0.00024,-0.017,-0.011,-0.019,0.005,0.017,0.011,0.017,0.011,0.017,0.011,0.017,0.011,0.017,0.011,0.017,0.011,0.017,0.011
-4.00E-05,-0.003,-0.017,-0.005,-0.019,0.003,0.017,0.003,0.017,0.003,0.017,0.003,0.017,0.003,0.017,0.003,0.017,0.003,0.017
0.00022,0.004,-0.003,-0.001,-0.005,-0.004,0.003,-0.004,0.003,-0.004,0.003,-0.004,0.003,-0.004,0.003,-0.004,0.003,-0.004,0.003
5.00E-05,-0.006,0.004,-0.014,-0.001,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004
5.00E-05,0.003,-0.006,0.01,-0.014,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006
-0.00024,0.012,0.003,0.001,0.01,-0.012,-0.003,-0.012,-0.003,-0.012,-0.003,-0.012,-0.003,-0.012,-0.003,-0.012,-0.003,-0.012,-0.003
0,-0.02,0.012,0.002,0.001,0.02,-0.012,0.02,-0.012,0.02,-0.012,0.02,-0.012,0.02,-0.012,0.02,-0.012,0.02,-0.012
-0.00014,-0.011,-0.02,-0.025,0.002,0.011,0.02,0.011,0.02,0.011,0.02,0.011,0.02,0.011,0.02,0.011,0.02,0.011,0.02
-0.00014,-0.021,-0.011,-0.015,-0.025,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
-2.00E-05,-0.001,-0.021,-0.009,-0.015,0.001,0.011,0.001,0.011,0.001,0.011,0.001,0.011,0.001,0.011,0.001,0.011,0.001,0.011
3.00E-05,0.005,-0.001,-0.001,-0.009,-0.005,0.001,-0.005,0.001,-0.005,0.001,-0.005,0.001,-0.005,0.001,-0.005,0.001,-0.005,0.001
-2.00E-05,0.005,0.005,0.009,-0.001,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005
1.00E-05,0.02,0.005,0.01,0.009,-0.03,-0.005,-0.03,-0.005,-0.03,-0.005,-0.03,-0.005,-0.03,-0.005,-0.03,-0.005,-0.03,-0.005
-0.00029,0.001,0.02,0.004,0.01,-0.001,-0.03,-0.001,-0.03,-0.001,-0.03,-0.001,-0.03,-0.001,-0.03,-0.001,-0.03,-0.001,-0.03
6.00E-05,0.012,0.001,0.008,0.004,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001,-0.012,-0.001
-3.00E-05,0.017,0.012,0.007,0.008,-0.037,-0.012,-0.037,-0.012,-0.037,-0.012,-0.037,-0.012,-0.037,-0.012,-0.037,-0.012,-0.037,-0.012
-0.00034,0.02,0.017,0.025,0.007,-0.02,-0.037,-0.02,-0.037,-0.02,-0.037,-0.02,-0.037,-0.02,-0.037,-0.02,-0.037,-0.02,-0.037
-0.0006,-0.021,0.02,0,0.025,0.021,-0.02,0.021,-0.02,0.021,-0.02,0.021,-0.02,0.021,-0.02,0.021,-0.02,0.021,-0.02
0,-0.004,-0.021,-0.008,0,0.004,0.021,0.004,0.021,0.004,0.021,0.004,0.021,0.004,0.021,0.004,0.021,0.004,0.021
0.00043,-0.023,-0.004,-0.002,-0.008,0.023,0.004,0.023,0.004,0.023,0.004,0.023,0.004,0.023,0.004,0.023,0.004,0.023,0.004
-1.00E-05,0.017,-0.023,0.001,-0.002,-0.017,0.023,-0.017,0.023,-0.017,0.023,-0.017,0.023,-0.017,0.023,-0.017,0.023,-0.017,0.023
-0.00129,0.007,0.017,0.001,0.001,-0.007,-0.017,-0.007,-0.017,-0.007,-0.017,-0.007,-0.017,-0.007,-0.017,-0.007,-0.017,-0.007,-0.017
0.00028,0,0.007,0.004,0.001,0,-0.007,-0.01,-0.007,0,-0.007,0,-0.007,0,-0.007,0,-0.007,0,-0.007
-5.00E-05,0.035,0,0.016,0.004,-0.035,0,-0.035,-0.01,-0.035,0,-0.035,0,-0.035,0,-0.035,0,-0.035,0
-0.00013,-0.007,0.035,-0.007,0.016,0.007,-0.035,0.007,-0.035,0.007,-0.035,0.007,-0.035,0.007,-0.035,0.007,-0.035,0.007,-0.035
-0.00029,-0.058,-0.007,-0.044,-0.007,0.058,0.007,0.058,0.007,0.058,0.007,0.058,0.007,0.058,0.007,0.058,0.007,0.058,0.007
-0.00025,0.005,-0.058,0.001,-0.044,-0.005,0.058,-0.005,0.058,-0.005,0.058,-0.005,0.058,-0.005,0.058,-0.005,0.058,-0.005,0.058
0.00089,-0.02,0.005,-0.004,0.001,0.02,-0.005,0.02,-0.005,0.02,-0.005,0.02,-0.005,0.02,-0.005,0.02,-0.005,0.02,-0.005
0.00026,-0.018,-0.02,-0.027,-0.004,0.018,0.02,0.018,0.02,0.018,0.02,0.018,0.02,0.018,0.02,0.018,0.02,0.018,0.02
-2.00E-05,-0.027,-0.018,-0.017,-0.027,-0.163,0.018,-0.163,0.018,-0.163,0.018,-0.163,0.018,-0.163,0.018,-0.163,0.018,-0.163,0.018
-3.00E-05,-0.033,-0.027,-0.06,-0.017,0.033,-0.163,0.033,-0.163,0.033,-0.163,0.033,-0.163,0.033,-0.163,0.033,-0.163,0.033,-0.163
0.00169,-0.023,-0.033,-0.016,-0.06,0.023,0.033,0.023,0.033,0.023,0.033,0.023,0.033,0.023,0.033,0.023,0.033,0.023,0.033
-0.00026,-0.011,-0.023,-0.011,-0.016,0.011,0.023,0.011,0.023,0.011,0.023,0.011,0.023,0.011,0.023,0.011,0.023,0.011,0.023
-4.00E-05,0.026,-0.011,0.009,-0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011
-0.00012,0.002,0.026,0.008,0.009,-0.002,-0.026,-0.002,-0.026,-0.002,-0.026,-0.002,-0.026,-0.002,-0.026,-0.002,-0.026,-0.002,-0.026
-2.00E-05,-0.021,0.002,-0.004,0.008,0.021,-0.002,0.021,-0.002,0.021,-0.002,0.021,-0.002,0.021,-0.002,0.021,-0.002,0.021,-0.002
0.00104,0.016,-0.021,0.015,-0.004,-0.016,0.021,-0.016,0.021,-0.016,0.021,-0.016,0.021,-0.016,0.021,-0.016,0.021,-0.016,0.021
-0.00029,0.025,0.016,0.009,0.015,-0.025,-0.016,-0.025,-0.016,-0.025,-0.016,-0.025,-0.016,-0.025,-0.016,-0.025,-0.016,-0.025,-0.016
5.00E-05,-0.016,0.025,0.007,0.009,0.016,-0.025,0.016,-0.025,0.016,-0.025,0.016,-0.025,0.016,-0.025,0.016,-0.025,0.016,-0.025
-0.00071,0.012,-0.016,0.005,0.007,-0.012,0.016,-0.012,0.016,-0.012,0.016,-0.012,0.016,-0.012,0.016,-0.012,0.016,-0.012,0.016
0.00301,-0.018,0.012,0,0.005,0.008,-0.012,0.008,-0.012,0.008,-0.012,0.008,-0.012,0.008,-0.012,0.008,-0.012,0.008,-0.012
0.0002,-0.088,-0.018,-0.015,0,0.088,0.008,0.088,0.008,0.088,0.008,0.088,0.008,0.088,0.008,0.088,0.008,0.088,0.008
-0.00025,-0.013,-0.088,-0.094,-0.015,0.013,0.088,0.013,0.088,0.013,0.088,0.013,0.088,0.013,0.088,0.013,0.088,0.013,0.088
-0.00024,0.012,-0.013,0.009,-0.094,-0.012,0.013,-0.012,0.013,-0.012,0.013,-0.012,0.013,-0.012,0.013,-0.012,0.013,-0.012,0.013
0.00015,-0.01,0.012,0.007,0.009,0.01,-0.012,0.01,-0.012,0.01,-0.012,0.01,-0.012,0.01,-0.012,0.01,-0.012,0.01,-0.012
-0.0001,0.009,-0.01,0.004,0.007,-0.009,0.01,-0.009,0.01,-0.009,0.01,-0.009,0.01,-0.009,0.01,-0.009,0.01,-0.009,0.01
0.00032,-0.037,0.009,-0.003,0.004,0.037,-0.009,0.037,-0.009,0.037,-0.009,0.037,-0.009,0.037,-0.009,0.037,-0.009,0.037,-0.009
-0.00027,0.014,-0.037,-0.012,-0.003,-0.014,0.037,-0.014,0.037,-0.014,0.037,-0.014,0.037,-0.014,0.037,-0.014,0.037,-0.014,0.037
-0.00075,-0.007,0.014,-0.013,-0.012,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014
0.00046,-0.014,-0.007,-0.014,-0.013,0.014,0.007,0.014,0.007,0.014,0.007,0.014,0.007,0.014,0.007,0.014,0.007,0.014,0.007
-0.00049,0.005,-0.014,-0.001,-0.014,-0.015,0.014,-0.015,0.014,-0.015,0.014,-0.015,0.014,-0.015,0.014,-0.015,0.014,-0.015,0.014
0.00085,0.008,0.005,0.005,-0.001,-0.008,-0.015,-0.008,-0.015,-0.008,-0.015,-0.008,-0.015,-0.008,-0.015,-0.008,-0.015,-0.008,-0.015
-0.00029,-0.003,0.008,0,0.005,0.003,-0.008,0.003,-0.008,0.003,-0.008,0.003,-0.008,0.003,-0.008,0.003,-0.008,0.003,-0.008
-0.00027,0.004,-0.003,0.005,0,-0.004,0.003,-0.004,0.003,-0.004,0.003,-0.004,0.003,-0.004,0.003,-0.004,0.003,-0.004,0.003
-6.00E-05,-0.006,0.004,0.002,0.005,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004
2.00E-05,-0.006,-0.006,-0.005,0.002,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
3.00E-05,0.016,-0.006,0.01,-0.005,-0.016,0.006,-0.016,0.006,-0.016,0.006,-0.016,0.006,-0.016,0.006,-0.016,0.006,-0.016,0.006
-0.00027,0.008,0.016,0.003,0.01,-0.008,-0.016,-0.008,-0.016,-0.008,-0.016,-0.008,-0.016,-0.008,-0.016,-0.008,-0.016,-0.008,-0.016
-1.00E-04,-0.002,0.008,-0.009,0.003,0.002,-0.008,0.002,-0.008,0.002,-0.008,0.002,-0.008,0.002,-0.008,0.002,-0.008,0.002,-0.008
-0.00011,-0.006,-0.002,0.006,-0.009,0.006,0.002,0.006,0.002,0.006,0.002,0.006,0.002,0.006,0.002,0.006,0.002,0.006,0.002
-0.00034,0.012,-0.006,0.004,0.006,-0.012,0.006,-0.012,0.006,-0.012,0.006,-0.012,0.006,-0.012,0.006,-0.012,0.006,-0.012,0.006
-6.00E-05,-0.006,0.012,-0.005,0.004,-0.004,-0.012,-0.004,-0.012,-0.004,-0.012,-0.004,-0.012,-0.004,-0.012,-0.004,-0.012,-0.004,-0.012
-5.00E-05,-0.002,-0.006,-0.002,-0.005,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004
0,-0.005,-0.002,-0.005,-0.002,0.005,-0.008,0.005,-0.008,0.005,-0.008,0.005,-0.008,0.005,-0.008,0.005,-0.008,0.005,-0.008
4.00E-05,0.002,-0.005,0.005,-0.005,-0.002,0.005,-0.002,0.005,-0.002,0.005,-0.002,0.005,-0.002,0.005,-0.002,0.005,-0.002,0.005
-2.00E-05,-0.019,0.002,-0.009,0.005,0.019,-0.002,0.019,-0.002,0.019,-0.002,0.019,-0.002,0.019,-0.002,0.019,-0.002,0.019,-0.002
0.00022,0.013,-0.019,-0.001,-0.009,-0.013,0.019,-0.013,0.019,-0.013,0.019,-0.013,0.019,-0.013,0.019,-0.013,0.019,-0.013,0.019
-9.00E-05,-0.004,0.013,-0.001,-0.001,0.004,-0.013,0.004,-0.013,0.004,-0.013,0.004,-0.013,0.004,-0.013,0.004,-0.013,0.004,-0.013
0.00013,0,-0.004,-0.003,-0.001,0,0.004,0,0.004,0,0.004,0,0.004,0,0.004,0,0.004,0,0.004
-0.00023,0.035,0,0.008,-0.003,-0.035,0,-0.035,0,-0.035,0,-0.035,0,-0.035,0,-0.035,0,-0.035,0
0.00053,-0.009,0.035,0.001,0.008,0.009,-0.035,0.009,-0.035,0.009,-0.035,0.009,-0.035,0.009,-0.035,0.009,-0.035,0.009,-0.035
-0.00015,-0.013,-0.009,-0.009,0.001,0.013,0.009,0.013,0.009,0.013,0.009,0.013,0.009,0.013,0.009,0.013,0.009,0.013,0.009
-0.00014,0.021,-0.013,0.014,-0.009,-0.021,0.013,-0.021,0.013,-0.021,0.013,-0.021,0.013,-0.021,0.013,-0.021,0.013,-0.021,0.013
-1.00E-05,0.001,0.021,0.001,0.014,-0.001,-0.021,-0.001,-0.021,-0.001,-0.021,-0.001,-0.021,-0.001,-0.021,-0.001,-0.021,-0.001,-0.021
-9.00E-05,-0.032,0.001,-0.013,0.001,0.032,-0.001,0.032,-0.001,0.032,-0.001,0.032,-0.001,0.032,-0.001,0.032,-0.001,0.032,-0.001
-4.00E-05,0.007,-0.032,0.002,-0.013,-0.007,0.032,-0.007,0.032,-0.007,0.032,-0.007,0.032,-0.007,0.032,-0.007,0.032,-0.007,0.032
0,0.008,0.007,0.006,0.002,-0.008,-0.007,-0.008,-0.007,-0.008,-0.007,-0.008,-0.007,-0.008,-0.007,-0.008,-0.007,-0.008,-0.007
-0.00026,-0.011,0.008,-0.002,0.006,0.011,-0.008,0.011,-0.008,0.011,-0.008,0.011,-0.008,0.011,-0.008,0.011,-0.008,0.011,-0.008
0.00021,0.014,-0.011,0.005,-0.002,-0.014,0.011,-0.014,0.011,-0.014,0.011,-0.014,0.011,-0.014,0.011,-0.014,0.011,-0.014,0.011
-6.00E-05,-0.005,0.014,-0.002,0.005,0.005,-0.014,0.005,-0.014,0.005,-0.014,0.005,-0.014,0.005,-0.014,0.005,-0.014,0.005,-0.014
-0.00152,0.003,-0.005,0.007,-0.002,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005
-0.00023,0.001,0.003,0.004,0.007,-0.001,-0.003,-0.001,-0.003,-0.001,-0.003,-0.001,-0.003,-0.001,-0.003,-0.001,-0.003,-0.001,-0.003
-0.0023,-0.004,0.001,-0.002,0.004,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001
-0.00015,0.001,-0.004,0,-0.002,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004
-0.00141,0.007,0.001,0.003,0,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001
-0.00059,0.005,0.007,0.004,0.003,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007
-0.00023,0.031,0.005,0.019,0.004,-0.031,-0.005,-0.031,-0.005,-0.031,-0.005,-0.031,-0.005,-0.031,-0.005,-0.031,-0.005,-0.031,-0.005
2.00E-05,0.011,0.031,0,0.019,-0.011,-0.031,-0.011,-0.031,-0.011,-0.031,-0.011,-0.031,-0.011,-0.031,-0.011,-0.031,-0.011,-0.031
-0.00073,0.025,0.011,0.021,0,-0.025,-0.011,-0.025,-0.011,-0.025,-0.011,-0.025,-0.011,-0.025,-0.011,-0.025,-0.011,-0.025,-0.011
0,0.025,0.025,0.001,0.021,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025
0.00029,-0.007,0.025,0.011,0.001,0.007,-0.025,0.007,-0.025,0.007,-0.025,0.007,-0.025,0.007,-0.025,0.007,-0.025,0.007,-0.025
