delta_v,delta_treasury(3Y)t,delta_treasury(3Y)t-1,delta_treasury(1Y)t,delta_treasury(1Y)t-1,deltaAAAt,deltaAAAt-1,deltaAAplt,deltaAAplt-1,deltaAAmit,deltaAAmit-1,deltaAplt,deltaAplt-1,deltaAt,deltaAt-1,deltaAmit,deltaAmit-1,deltaAAt,deltaAAt-1
0.00016,-0.004,-0.009,-0.002,0.001,0.004,-0.011,0.004,-0.011,0.004,-0.011,0.004,-0.011,0.004,-0.011,0.004,-0.011,0.004,-0.011
0.0003,-0.022,-0.004,-0.004,-0.002,0.022,0.004,0.022,0.004,0.022,0.004,0.022,0.004,0.022,0.004,0.022,0.004,0.022,0.004
1.00E-05,-0.033,-0.022,-0.011,-0.004,0.033,0.022,0.033,0.022,0.033,0.022,0.033,0.022,0.033,0.022,0.033,0.022,0.033,0.022
0.0004,-0.01,-0.033,-0.013,-0.011,0.01,0.033,0.01,0.033,0.01,0.033,0.01,0.033,0.01,0.033,0.01,0.033,0.01,0.033
-4.00E-05,-0.003,-0.01,0.002,-0.013,0.003,0.01,0.003,0.01,0.003,0.01,0.003,0.01,0.003,0.01,0.003,0.01,0.003,0.01
-0.00029,0.028,-0.003,0.008,0.002,-0.028,0.003,-0.028,0.003,-0.028,0.003,-0.028,0.003,-0.028,0.003,-0.028,0.003,-0.028,0.003
-0.00036,-0.015,0.028,0.001,0.008,0.015,-0.028,0.015,-0.028,0.015,-0.028,0.015,-0.028,0.015,-0.028,0.015,-0.028,0.015,-0.028
-0.00028,0.019,-0.015,0.009,0.001,-0.019,0.015,-0.019,0.015,-0.019,0.015,-0.019,0.015,-0.019,0.015,-0.019,0.015,-0.019,0.015
-7.00E-05,0.033,0.019,0.001,0.009,-0.033,-0.019,-0.033,-0.019,-0.033,-0.019,-0.033,-0.019,-0.033,-0.019,-0.033,-0.019,-0.033,-0.019
0.0005,-0.008,0.033,0.009,0.001,0.008,-0.033,0.008,-0.033,0.008,-0.033,0.008,-0.033,0.008,-0.033,0.008,-0.033,0.008,-0.033
0.00027,0.014,-0.008,-0.006,0.009,-0.014,0.008,-0.014,0.008,-0.014,0.008,-0.014,0.008,-0.014,0.008,-0.014,0.008,-0.014,0.008
-0.00021,0.018,0.014,0.01,-0.006,-0.018,-0.014,-0.018,-0.014,-0.018,-0.014,-0.018,-0.014,-0.018,-0.014,-0.018,-0.014,-0.018,-0.014
0.00063,-0.006,0.018,-0.004,0.01,0.006,-0.018,0.006,-0.018,0.006,-0.018,0.006,-0.018,0.006,-0.018,0.006,-0.018,0.006,-0.018
-5.00E-05,-0.003,-0.006,0.002,-0.004,0.003,0.006,0.003,0.006,0.003,0.006,0.003,0.006,0.003,0.006,0.003,0.006,0.003,0.006
-0.00078,-0.02,-0.003,-0.006,0.002,0.02,0.003,0.02,0.003,0.02,0.003,0.02,0.003,0.02,0.003,0.02,0.003,0.02,0.003
-1.00E-05,-0.026,-0.02,-0.018,-0.006,0.026,0.02,0.026,0.02,0.026,0.02,0.026,0.02,0.026,0.02,0.026,0.02,0.026,0.02
2.00E-05,-0.032,-0.026,-0.013,-0.018,0.032,0.026,0.032,0.026,0.032,0.026,0.032,0.026,0.032,0.026,0.032,0.026,0.032,0.026
-0.00046,0.024,-0.032,0.006,-0.013,-0.024,0.032,-0.024,0.032,-0.024,0.032,-0.024,0.032,-0.024,0.032,-0.024,0.032,-0.024,0.032
0.00027,-0.006,0.024,0.003,0.006,0.006,-0.024,0.006,-0.024,0.006,-0.024,0.006,-0.024,0.006,-0.024,0.006,-0.024,0.006,-0.024
-0.00015,-0.007,-0.006,-0.006,0.003,0.007,0.006,0.007,0.006,0.007,0.006,0.007,0.006,0.007,0.006,0.007,0.006,0.007,0.006
-0.00035,0.014,-0.007,0.004,-0.006,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007
0.00054,-0.016,0.014,0,0.004,0.016,-0.014,0.016,-0.014,0.016,-0.014,0.016,-0.014,0.016,-0.014,0.016,-0.014,0.016,-0.014
0.00051,-0.005,-0.016,0.001,0,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016
0.00241,-0.016,-0.005,-0.001,0.001,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005,0.016,0.005
0.00024,0.015,-0.016,0.006,-0.001,-0.015,0.016,-0.015,0.016,-0.015,0.016,-0.015,0.016,-0.015,0.016,-0.015,0.016,-0.015,0.016
0.00192,0.011,0.015,-0.001,0.006,-0.011,-0.015,-0.011,-0.015,-0.011,-0.015,-0.011,-0.015,-0.011,-0.015,-0.011,-0.015,-0.011,-0.015
0.00011,-0.014,0.011,0.011,-0.001,0.014,-0.011,0.014,-0.011,0.014,-0.011,0.014,-0.011,0.014,-0.011,0.014,-0.011,0.014,-0.011
0.001,0.013,-0.014,0.001,0.011,-0.013,0.014,-0.013,0.014,-0.013,0.014,-0.013,0.014,-0.013,0.014,-0.013,0.014,-0.013,0.014
0,0.017,0.013,0.004,0.001,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013
0.00078,-0.01,0.017,0.003,0.004,0.01,-0.017,0.01,-0.017,0.01,-0.017,0.01,-0.017,0.01,-0.017,0.01,-0.017,0.01,-0.017
