AAAt,AAAt-1,delta_AAA,AA+t,AA+t-1,delta_AA+,AAt,AAt-1,delta_AA,AA-t,AA-t-1,delta_AA-,A+t,A+t-1,delta_A+,At,At-1,delta_A,A-t,A-t-1,delta_A-,volatility_t,volatility_t-1,delta_v
0.312,0.329,-0.017,0.342,0.359,-0.017,0.382,0.389,-0.007,0.412,0.419,-0.007,0.582,0.599,-0.017,0.842,0.859,-0.017,1.262,1.279,-0.017,0.07,-0.79,0.86
0.329,0.31,0.019,0.359,0.34,0.019,0.389,0.37,0.019,0.419,0.4,0.019,0.599,0.58,0.019,0.859,0.84,0.019,1.279,1.26,0.019,-0.79,3.5,-4.29
0.31,0.318,-0.008,0.34,0.348,-0.008,0.37,0.378,-0.008,0.4,0.408,-0.008,0.58,0.588,-0.008,0.84,0.848,-0.008,1.26,1.268,-0.008,3.5,0.75,2.75
0.318,0.33,-0.012,0.348,0.35,-0.002,0.378,0.39,-0.012,0.408,0.42,-0.012,0.588,0.59,-0.002,0.848,0.86,-0.012,1.268,1.27,-0.002,0.75,0.76,-0.01
0.33,0.333,-0.003,0.35,0.353,-0.003,0.39,0.393,-0.003,0.42,0.423,-0.003,0.59,0.593,-0.003,0.86,0.863,-0.003,1.27,1.273,-0.003,0.76,-2.72,3.48
0.333,0.314,0.019,0.353,0.344,0.009,0.393,0.384,0.009,0.423,0.404,0.019,0.593,0.584,0.009,0.863,0.844,0.019,1.273,1.264,0.009,-2.72,-1.88,-0.84
0.314,0.309,0.005,0.344,0.329,0.015,0.384,0.369,0.015,0.404,0.399,0.005,0.584,0.569,0.015,0.844,0.839,0.005,1.264,1.249,0.015,-1.88,2.74,-4.62
0.309,0.311,-0.002,0.329,0.331,-0.002,0.369,0.371,-0.002,0.399,0.401,-0.002,0.569,0.571,-0.002,0.839,0.841,-0.002,1.249,1.251,-0.002,2.74,-1.17,3.91
0.311,0.327,-0.016,0.331,0.357,-0.026,0.371,0.387,-0.016,0.401,0.417,-0.016,0.571,0.597,-0.026,0.841,0.857,-0.016,1.251,1.277,-0.026,-1.17,1.64,-2.81
0.327,0.325,0.002,0.357,0.355,0.002,0.387,0.395,-0.008,0.417,0.425,-0.008,0.597,0.595,0.002,0.857,0.855,0.002,1.277,1.275,0.002,1.64,1.67,-0.03
0.325,0.324,0.001,0.355,0.354,0.001,0.395,0.394,0.001,0.425,0.414,0.011,0.595,0.584,0.011,0.855,0.854,0.001,1.275,1.264,0.011,1.67,-0.15,1.82
0.324,0.312,0.012,0.354,0.342,0.012,0.394,0.382,0.012,0.414,0.412,0.002,0.584,0.582,0.002,0.854,0.842,0.012,1.264,1.262,0.002,-0.15,0.99,-1.14
0.312,0.311,0.001,0.342,0.351,-0.009,0.382,0.381,0.001,0.412,0.411,0.001,0.582,0.581,0.001,0.842,0.841,0.001,1.262,1.261,0.001,0.99,-5.42,6.41
0.311,0.332,-0.021,0.351,0.362,-0.011,0.381,0.402,-0.021,0.411,0.422,-0.011,0.581,0.592,-0.011,0.841,0.862,-0.021,1.261,1.272,-0.011,-5.42,-0.07,-5.35
0.332,0.325,0.007,0.362,0.355,0.007,0.402,0.395,0.007,0.422,0.425,-0.003,0.592,0.595,-0.003,0.862,0.855,0.007,1.272,1.275,-0.003,-0.07,3.82,-3.89
0.325,0.325,0,0.355,0.365,-0.01,0.395,0.395,0,0.425,0.425,0,0.595,0.595,0,0.855,0.855,0,1.275,1.275,0,3.82,0.53,3.29
0.325,0.33,-0.005,0.365,0.36,0.005,0.395,0.4,-0.005,0.425,0.43,-0.005,0.595,0.6,-0.005,0.855,0.86,-0.005,1.275,1.28,-0.005,0.53,-3.84,4.37
0.33,0.329,0.001,0.36,0.369,-0.009,0.4,0.399,0.001,0.43,0.429,0.001,0.6,0.599,0.001,0.86,0.859,0.001,1.28,1.279,0.001,-3.84,-3.5,-0.34
0.329,0.329,0,0.369,0.359,0.01,0.399,0.399,0,0.429,0.429,0,0.599,0.599,0,0.859,0.859,0,1.279,1.279,0,-3.5,-3.64,0.14
0.329,0.319,0.01,0.359,0.359,0,0.399,0.389,0.01,0.429,0.419,0.01,0.599,0.589,0.01,0.859,0.849,0.01,1.279,1.269,0.01,-3.64,-5.05,1.41
0.319,0.324,-0.005,0.359,0.364,-0.005,0.389,0.394,-0.005,0.419,0.424,-0.005,0.589,0.594,-0.005,0.849,0.854,-0.005,1.269,1.274,-0.005,-5.05,1.69,-6.74
0.324,0.326,-0.002,0.364,0.356,0.008,0.394,0.396,-0.002,0.424,0.426,-0.002,0.594,0.596,-0.002,0.854,0.856,-0.002,1.274,1.276,-0.002,1.69,-5.42,7.11
0.326,0.338,-0.012,0.356,0.368,-0.012,0.396,0.408,-0.012,0.426,0.428,-0.002,0.596,0.598,-0.002,0.856,0.868,-0.012,1.276,1.278,-0.002,-5.42,-0.37,-5.05
0.338,0.33,0.008,0.368,0.36,0.008,0.408,0.4,0.008,0.428,0.42,0.008,0.598,0.59,0.008,0.868,0.86,0.008,1.278,1.27,0.008,-0.37,2.84,-3.21
0.33,0.327,0.003,0.36,0.357,0.003,0.4,0.397,0.003,0.42,0.417,0.003,0.59,0.587,0.003,0.86,0.857,0.003,1.27,1.267,0.003,2.84,6.51,-3.67
0.327,0.327,0,0.357,0.357,0,0.397,0.397,0,0.417,0.417,0,0.587,0.587,0,0.857,0.857,0,1.267,1.267,0,6.51,-1.72,8.23
0.327,0.333,-0.006,0.357,0.363,-0.006,0.397,0.403,-0.006,0.417,0.423,-0.006,0.587,0.593,-0.006,0.857,0.863,-0.006,1.267,1.273,-0.006,-1.72,2.02,-3.74
0.333,0.329,0.004,0.363,0.359,0.004,0.403,0.399,0.004,0.423,0.429,-0.006,0.593,0.599,-0.006,0.863,0.859,0.004,1.273,1.279,-0.006,2.02,-1.39,3.41
0.329,0.329,0,0.359,0.359,0,0.399,0.399,0,0.429,0.429,0,0.599,0.599,0,0.859,0.859,0,1.279,1.279,0,-1.39,-3.59,2.2
0.329,0.326,0.003,0.359,0.366,-0.007,0.399,0.396,0.003,0.429,0.426,0.003,0.599,0.596,0.003,0.859,0.856,0.003,1.279,1.276,0.003,-3.59,6.33,-9.92
0.326,0.325,0.001,0.366,0.365,0.001,0.396,0.395,0.001,0.426,0.425,0.001,0.596,0.595,0.001,0.856,0.855,0.001,1.276,1.275,0.001,6.33,-0.07,6.4
0.325,0.329,-0.004,0.365,0.369,-0.004,0.395,0.399,-0.004,0.425,0.429,-0.004,0.595,0.599,-0.004,0.855,0.859,-0.004,1.275,1.279,-0.004,-0.07,4.4,-4.47
0.329,0.328,0.001,0.369,0.358,0.011,0.399,0.398,0.001,0.429,0.428,0.001,0.599,0.588,0.011,0.859,0.848,0.011,1.279,1.268,0.011,4.4,-1.26,5.66
0.328,0.331,-0.003,0.358,0.361,-0.003,0.398,0.401,-0.003,0.428,0.431,-0.003,0.588,0.591,-0.003,0.848,0.851,-0.003,1.268,1.271,-0.003,-1.26,-3.39,2.13
0.331,0.321,0.01,0.361,0.361,0,0.401,0.391,0.01,0.431,0.421,0.01,0.591,0.581,0.01,0.851,0.851,0,1.271,1.261,0.01,-3.39,0.89,-4.28
0.321,0.325,-0.004,0.361,0.365,-0.004,0.391,0.395,-0.004,0.421,0.425,-0.004,0.581,0.585,-0.004,0.851,0.845,0.006,1.261,1.265,-0.004,0.89,1.53,-0.64
0.325,0.322,0.003,0.365,0.352,0.013,0.395,0.392,0.003,0.425,0.422,0.003,0.585,0.582,0.003,0.845,0.842,0.003,1.265,1.262,0.003,1.53,6.74,-5.21
0.322,0.332,-0.01,0.352,0.362,-0.01,0.392,0.402,-0.01,0.422,0.432,-0.01,0.582,0.592,-0.01,0.842,0.852,-0.01,1.262,1.272,-0.01,6.74,0.52,6.22
0.332,0.318,0.014,0.362,0.348,0.014,0.402,0.378,0.024,0.432,0.408,0.024,0.592,0.578,0.014,0.852,0.838,0.014,1.272,1.258,0.014,0.52,-6.54,7.06
0.318,0.315,0.003,0.348,0.345,0.003,0.378,0.385,-0.007,0.408,0.415,-0.007,0.578,0.575,0.003,0.838,0.835,0.003,1.258,1.255,0.003,-6.54,-1.17,-5.37
0.315,0.315,0,0.345,0.355,-0.01,0.385,0.385,0,0.415,0.415,0,0.575,0.585,-0.01,0.835,0.845,-0.01,1.255,1.265,-0.01,-1.17,-3.52,2.35
0.315,0.301,0.014,0.355,0.331,0.024,0.385,0.371,0.014,0.415,0.401,0.014,0.585,0.561,0.024,0.845,0.831,0.014,1.265,1.241,0.024,-3.52,-5.64,2.12
0.301,0.289,0.012,0.331,0.319,0.012,0.371,0.359,0.012,0.401,0.389,0.012,0.561,0.549,0.012,0.831,0.819,0.012,1.241,1.229,0.012,-5.64,-3.39,-2.25
0.289,0.292,-0.003,0.319,0.322,-0.003,0.359,0.362,-0.003,0.389,0.392,-0.003,0.549,0.552,-0.003,0.819,0.822,-0.003,1.229,1.232,-0.003,-3.39,2.35,-5.74
0.292,0.297,-0.005,0.322,0.327,-0.005,0.362,0.367,-0.005,0.392,0.397,-0.005,0.552,0.557,-0.005,0.822,0.817,0.005,1.232,1.237,-0.005,2.35,2.54,-0.19
0.297,0.322,-0.025,0.327,0.362,-0.035,0.367,0.392,-0.025,0.397,0.422,-0.025,0.557,0.592,-0.035,0.817,0.852,-0.035,1.237,1.272,-0.035,2.54,-6.31,8.85
0.322,0.283,0.039,0.362,0.323,0.039,0.392,0.353,0.039,0.422,0.383,0.039,0.592,0.553,0.039,0.852,0.813,0.039,1.272,1.233,0.039,-6.31,2.13,-8.44
0.283,0.27,0.013,0.323,0.31,0.013,0.353,0.35,0.003,0.383,0.37,0.013,0.553,0.54,0.013,0.813,0.8,0.013,1.233,1.22,0.013,2.13,-1.2,3.33
0.27,0.279,-0.009,0.31,0.309,0.001,0.35,0.349,0.001,0.37,0.379,-0.009,0.54,0.539,0.001,0.8,0.799,0.001,1.22,1.219,0.001,-1.2,-3.87,2.67
0.279,0.279,0,0.309,0.299,0.01,0.349,0.339,0.01,0.379,0.369,0.01,0.539,0.529,0.01,0.799,0.799,0,1.219,1.209,0.01,-3.87,11.45,-15.32
0.279,0.261,0.018,0.299,0.291,0.008,0.339,0.321,0.018,0.369,0.351,0.018,0.529,0.521,0.008,0.799,0.781,0.018,1.209,1.201,0.008,11.45,2.1,9.35
0.261,0.27,-0.009,0.291,0.3,-0.009,0.321,0.33,-0.009,0.351,0.36,-0.009,0.521,0.53,-0.009,0.781,0.79,-0.009,1.201,1.21,-0.009,2.1,0.33,1.77
0.27,0.284,-0.014,0.3,0.314,-0.014,0.33,0.344,-0.014,0.36,0.374,-0.014,0.53,0.544,-0.014,0.79,0.804,-0.014,1.21,1.224,-0.014,0.33,1.27,-0.94
0.284,0.269,0.015,0.314,0.299,0.015,0.344,0.329,0.015,0.374,0.359,0.015,0.544,0.529,0.015,0.804,0.789,0.015,1.224,1.209,0.015,1.27,-8.65,9.92
0.269,0.267,0.002,0.299,0.297,0.002,0.329,0.327,0.002,0.359,0.357,0.002,0.529,0.527,0.002,0.789,0.787,0.002,1.209,1.207,0.002,-8.65,-3.81,-4.84
0.267,0.265,0.002,0.297,0.295,0.002,0.327,0.325,0.002,0.357,0.355,0.002,0.527,0.525,0.002,0.787,0.785,0.002,1.207,1.205,0.002,-3.81,6.03,-9.84
0.265,0.251,0.014,0.295,0.281,0.014,0.325,0.311,0.014,0.355,0.341,0.014,0.525,0.511,0.014,0.785,0.771,0.014,1.205,1.191,0.014,6.03,-6.72,12.75
0.251,0.25,0.001,0.281,0.28,0.001,0.311,0.31,0.001,0.341,0.34,0.001,0.511,0.51,0.001,0.771,0.77,0.001,1.191,1.19,0.001,-6.72,12.45,-19.17
0.25,0.248,0.002,0.28,0.278,0.002,0.31,0.308,0.002,0.34,0.338,0.002,0.51,0.508,0.002,0.77,0.768,0.002,1.19,1.188,0.002,12.45,-3.58,16.03
0.248,0.244,0.004,0.278,0.264,0.014,0.308,0.304,0.004,0.338,0.324,0.014,0.508,0.494,0.014,0.768,0.764,0.004,1.188,1.174,0.014,-3.58,-3.4,-0.18
0.244,0.245,-0.001,0.264,0.275,-0.011,0.304,0.305,-0.001,0.324,0.335,-0.011,0.494,0.515,-0.021,0.764,0.775,-0.011,1.174,1.195,-0.021,-3.4,-14.4,11
0.245,0.237,0.008,0.275,0.267,0.008,0.305,0.297,0.008,0.335,0.327,0.008,0.515,0.507,0.008,0.775,0.767,0.008,1.195,1.187,0.008,-14.4,-6.69,-7.71
0.237,0.247,-0.01,0.267,0.277,-0.01,0.297,0.307,-0.01,0.327,0.337,-0.01,0.507,0.507,0,0.767,0.777,-0.01,1.187,1.187,0,-6.69,8.07,-14.76
0.247,0.238,0.009,0.277,0.268,0.009,0.307,0.298,0.009,0.337,0.328,0.009,0.507,0.508,-0.001,0.777,0.768,0.009,1.187,1.188,-0.001,8.07,19.18,-11.11
0.238,0.23,0.008,0.268,0.26,0.008,0.298,0.29,0.008,0.328,0.32,0.008,0.508,0.49,0.018,0.768,0.75,0.018,1.188,1.17,0.018,19.18,5.19,13.99
0.23,0.231,-0.001,0.26,0.261,-0.001,0.29,0.291,-0.001,0.32,0.321,-0.001,0.49,0.491,-0.001,0.75,0.761,-0.011,1.17,1.171,-0.001,5.19,-0.46,5.65
0.231,0.228,0.003,0.261,0.258,0.003,0.291,0.288,0.003,0.321,0.318,0.003,0.491,0.488,0.003,0.761,0.758,0.003,1.171,1.168,0.003,-0.46,2.21,-2.67
0.228,0.239,-0.011,0.258,0.259,-0.001,0.288,0.299,-0.011,0.318,0.319,-0.001,0.488,0.499,-0.011,0.758,0.759,-0.001,1.168,1.179,-0.011,2.21,-0.8,3.01
0.239,0.234,0.005,0.259,0.264,-0.005,0.299,0.294,0.005,0.319,0.324,-0.005,0.499,0.494,0.005,0.759,0.754,0.005,1.179,1.174,0.005,-0.8,5.16,-5.96
0.234,0.232,0.002,0.264,0.262,0.002,0.294,0.292,0.002,0.324,0.322,0.002,0.494,0.492,0.002,0.754,0.752,0.002,1.174,1.172,0.002,5.16,1.77,3.39
0.232,0.228,0.004,0.262,0.248,0.014,0.292,0.288,0.004,0.322,0.308,0.014,0.492,0.488,0.004,0.752,0.748,0.004,1.172,1.168,0.004,1.77,2.47,-0.7
0.228,0.239,-0.011,0.248,0.259,-0.011,0.288,0.299,-0.011,0.308,0.319,-0.011,0.488,0.499,-0.011,0.748,0.759,-0.011,1.168,1.179,-0.011,2.47,4.48,-2.01
0.239,0.241,-0.002,0.259,0.271,-0.012,0.299,0.301,-0.002,0.319,0.331,-0.012,0.499,0.511,-0.012,0.759,0.771,-0.012,1.179,1.191,-0.012,4.48,-3.73,8.21
0.241,0.247,-0.006,0.271,0.277,-0.006,0.301,0.307,-0.006,0.331,0.337,-0.006,0.511,0.507,0.004,0.771,0.767,0.004,1.191,1.187,0.004,-3.73,4.27,-8
0.247,0.253,-0.006,0.277,0.283,-0.006,0.307,0.313,-0.006,0.337,0.343,-0.006,0.507,0.523,-0.016,0.767,0.783,-0.016,1.187,1.203,-0.016,4.27,-5,9.27
0.253,0.265,-0.012,0.283,0.285,-0.002,0.313,0.325,-0.012,0.343,0.345,-0.002,0.523,0.525,-0.002,0.783,0.785,-0.002,1.203,1.205,-0.002,-5,5.83,-10.83
0.265,0.251,0.014,0.285,0.281,0.004,0.325,0.311,0.014,0.345,0.341,0.004,0.525,0.511,0.014,0.785,0.781,0.004,1.205,1.191,0.014,5.83,3.74,2.09
0.251,0.249,0.002,0.281,0.279,0.002,0.311,0.309,0.002,0.341,0.339,0.002,0.511,0.519,-0.008,0.781,0.779,0.002,1.191,1.199,-0.008,3.74,-3.53,7.27
0.249,0.256,-0.007,0.279,0.286,-0.007,0.309,0.316,-0.007,0.339,0.346,-0.007,0.519,0.516,0.003,0.779,0.776,0.003,1.199,1.196,0.003,-3.53,1.72,-5.25
0.256,0.246,0.01,0.286,0.276,0.01,0.316,0.306,0.01,0.346,0.336,0.01,0.516,0.516,0,0.776,0.776,0,1.196,1.196,0,1.72,-8.24,9.96
0.246,0.251,-0.005,0.276,0.281,-0.005,0.306,0.311,-0.005,0.336,0.341,-0.005,0.516,0.521,-0.005,0.776,0.781,-0.005,1.196,1.201,-0.005,-8.24,-4.58,-3.66
0.251,0.252,-0.001,0.281,0.282,-0.001,0.311,0.312,-0.001,0.341,0.342,-0.001,0.521,0.522,-0.001,0.781,0.782,-0.001,1.201,1.202,-0.001,-4.58,1.39,-5.97
0.252,0.256,-0.004,0.282,0.286,-0.004,0.312,0.316,-0.004,0.342,0.346,-0.004,0.522,0.526,-0.004,0.782,0.786,-0.004,1.202,1.206,-0.004,1.39,-0.35,1.74
0.256,0.258,-0.002,0.286,0.288,-0.002,0.316,0.318,-0.002,0.346,0.348,-0.002,0.526,0.518,0.008,0.786,0.788,-0.002,1.206,1.198,0.008,-0.35,10.03,-10.38
0.258,0.257,0.001,0.288,0.287,0.001,0.318,0.317,0.001,0.348,0.347,0.001,0.518,0.527,-0.009,0.788,0.787,0.001,1.198,1.207,-0.009,10.03,0.08,9.95
0.257,0.254,0.003,0.287,0.274,0.013,0.317,0.304,0.013,0.347,0.334,0.013,0.527,0.524,0.003,0.787,0.784,0.003,1.207,1.204,0.003,0.08,-2.59,2.67
0.254,0.241,0.013,0.274,0.271,0.003,0.304,0.301,0.003,0.334,0.331,0.003,0.524,0.521,0.003,0.784,0.781,0.003,1.204,1.201,0.003,-2.59,0.67,-3.26
0.241,0.247,-0.006,0.271,0.267,0.004,0.301,0.297,0.004,0.331,0.327,0.004,0.521,0.527,-0.006,0.781,0.787,-0.006,1.201,1.207,-0.006,0.67,-4.42,5.09
0.247,0.251,-0.004,0.267,0.271,-0.004,0.297,0.301,-0.004,0.327,0.331,-0.004,0.527,0.531,-0.004,0.787,0.791,-0.004,1.207,1.211,-0.004,-4.42,-2.77,-1.65
0.251,0.238,0.013,0.271,0.258,0.013,0.301,0.288,0.013,0.331,0.318,0.013,0.531,0.518,0.013,0.791,0.778,0.013,1.211,1.198,0.013,-2.77,3.52,-6.29
0.238,0.246,-0.008,0.258,0.266,-0.008,0.288,0.296,-0.008,0.318,0.326,-0.008,0.518,0.516,0.002,0.778,0.786,-0.008,1.198,1.196,0.002,3.52,-0.78,4.3
0.246,0.234,0.012,0.266,0.264,0.002,0.296,0.294,0.002,0.326,0.324,0.002,0.516,0.514,0.002,0.786,0.774,0.012,1.196,1.194,0.002,-0.78,-0.28,-0.5
0.234,0.252,-0.018,0.264,0.272,-0.008,0.294,0.312,-0.018,0.324,0.332,-0.008,0.514,0.532,-0.018,0.774,0.792,-0.018,1.194,1.212,-0.018,-0.28,0.71,-0.99
0.252,0.25,0.002,0.272,0.27,0.002,0.312,0.31,0.002,0.332,0.33,0.002,0.532,0.53,0.002,0.792,0.79,0.002,1.212,1.21,0.002,0.71,1.6,-0.89
0.25,0.25,0,0.27,0.28,-0.01,0.31,0.31,0,0.33,0.34,-0.01,0.53,0.53,0,0.79,0.79,0,1.21,1.21,0,1.6,0.73,0.87
