AAAt,AAAt-1,delta_AAA,AA+t,AA+t-1,delta_AA+,AAt,AAt-1,delta_AA,AA-t,AA-t-1,delta_AA-,A+t,A+t-1,delta_A+,At,At-1,delta_A,A-t,A-t-1,delta_A-,volatility_t,volatility_t-1,delta_v
0.502,0.51,-0.008,0.532,0.53,0.002,0.572,0.57,0.002,0.592,0.6,-0.008,0.782,0.78,0.002,1.042,1.05,-0.008,1.462,1.46,0.002,0.38,3.53,-3.15
0.51,0.493,0.017,0.53,0.513,0.017,0.57,0.553,0.017,0.6,0.583,0.017,0.78,0.763,0.017,1.05,1.033,0.017,1.46,1.443,0.017,3.53,6.97,-3.44
0.493,0.439,0.054,0.513,0.459,0.054,0.553,0.499,0.054,0.583,0.529,0.054,0.763,0.709,0.054,1.033,0.979,0.054,1.443,1.389,0.054,6.97,-8.29,15.26
0.439,0.453,-0.014,0.459,0.473,-0.014,0.499,0.513,-0.014,0.529,0.543,-0.014,0.709,0.733,-0.024,0.979,0.993,-0.014,1.389,1.413,-0.024,-8.29,-13.95,5.66
0.453,0.437,0.016,0.473,0.457,0.016,0.513,0.497,0.016,0.543,0.527,0.016,0.733,0.717,0.016,0.993,0.977,0.016,1.413,1.397,0.016,-13.95,2.91,-16.86
0.437,0.443,-0.006,0.457,0.463,-0.006,0.497,0.503,-0.006,0.527,0.533,-0.006,0.717,0.723,-0.006,0.977,0.983,-0.006,1.397,1.403,-0.006,2.91,-12.29,15.2
0.443,0.407,0.036,0.463,0.437,0.026,0.503,0.467,0.036,0.533,0.497,0.036,0.723,0.687,0.036,0.983,0.947,0.036,1.403,1.367,0.036,-12.29,10.25,-22.54
0.407,0.41,-0.003,0.437,0.43,0.007,0.467,0.47,-0.003,0.497,0.5,-0.003,0.687,0.69,-0.003,0.947,0.95,-0.003,1.367,1.37,-0.003,10.25,-2.62,12.87
0.41,0.36,0.05,0.43,0.38,0.05,0.47,0.42,0.05,0.5,0.45,0.05,0.69,0.64,0.05,0.95,0.9,0.05,1.37,1.32,0.05,-2.62,-0.11,-2.51
0.36,0.321,0.039,0.38,0.351,0.029,0.42,0.391,0.029,0.45,0.411,0.039,0.64,0.601,0.039,0.9,0.861,0.039,1.32,1.281,0.039,-0.11,-0.11,0
0.321,0.351,-0.03,0.351,0.371,-0.02,0.391,0.411,-0.02,0.411,0.441,-0.03,0.601,0.621,-0.02,0.861,0.891,-0.03,1.281,1.301,-0.02,-0.11,19.87,-19.98
0.351,0.328,0.023,0.371,0.358,0.013,0.411,0.398,0.013,0.441,0.418,0.023,0.621,0.608,0.013,0.891,0.868,0.023,1.301,1.288,0.013,19.87,25.05,-5.18
0.328,0.324,0.004,0.358,0.354,0.004,0.398,0.394,0.004,0.418,0.414,0.004,0.608,0.604,0.004,0.868,0.864,0.004,1.288,1.284,0.004,25.05,14.55,10.5
0.324,0.338,-0.014,0.354,0.368,-0.014,0.394,0.408,-0.014,0.414,0.428,-0.014,0.604,0.618,-0.014,0.864,0.878,-0.014,1.284,1.298,-0.014,14.55,8.05,6.5
0.338,0.322,0.016,0.368,0.352,0.016,0.408,0.382,0.026,0.428,0.412,0.016,0.618,0.602,0.016,0.878,0.862,0.016,1.298,1.282,0.016,8.05,-3.89,11.94
0.322,0.332,-0.01,0.352,0.362,-0.01,0.382,0.392,-0.01,0.412,0.422,-0.01,0.602,0.612,-0.01,0.862,0.872,-0.01,1.282,1.292,-0.01,-3.89,31.82,-35.71
0.332,0.329,0.003,0.362,0.359,0.003,0.392,0.399,-0.007,0.422,0.419,0.003,0.612,0.609,0.003,0.872,0.869,0.003,1.292,1.289,0.003,31.82,16.1,15.72
0.329,0.341,-0.012,0.359,0.371,-0.012,0.399,0.401,-0.002,0.419,0.431,-0.012,0.609,0.621,-0.012,0.869,0.881,-0.012,1.289,1.301,-0.012,16.1,-11.58,27.68
0.341,0.33,0.011,0.371,0.36,0.011,0.401,0.4,0.001,0.431,0.42,0.011,0.621,0.61,0.011,0.881,0.87,0.011,1.301,1.29,0.011,-11.58,-9.26,-2.32
0.33,0.322,0.008,0.36,0.342,0.018,0.4,0.382,0.018,0.42,0.412,0.008,0.61,0.602,0.008,0.87,0.862,0.008,1.29,1.282,0.008,-9.26,-9.71,0.45
0.322,0.316,0.006,0.342,0.346,-0.004,0.382,0.386,-0.004,0.412,0.406,0.006,0.602,0.596,0.006,0.862,0.856,0.006,1.282,1.276,0.006,-9.71,-3.4,-6.31
0.316,0.326,-0.01,0.346,0.346,0,0.386,0.386,0,0.406,0.416,-0.01,0.596,0.596,0,0.856,0.866,-0.01,1.276,1.276,0,-3.4,25.97,-29.37
0.326,0.325,0.001,0.346,0.345,0.001,0.386,0.385,0.001,0.416,0.415,0.001,0.596,0.605,-0.009,0.866,0.865,0.001,1.276,1.285,-0.009,25.97,6.93,19.04
0.325,0.329,-0.004,0.345,0.359,-0.014,0.385,0.399,-0.014,0.415,0.419,-0.004,0.605,0.609,-0.004,0.865,0.869,-0.004,1.285,1.289,-0.004,6.93,10.48,-3.55
0.329,0.331,-0.002,0.359,0.361,-0.002,0.399,0.391,0.008,0.419,0.421,-0.002,0.609,0.611,-0.002,0.869,0.871,-0.002,1.289,1.291,-0.002,10.48,-3.93,14.41
0.331,0.328,0.003,0.361,0.358,0.003,0.391,0.398,-0.007,0.421,0.418,0.003,0.611,0.608,0.003,0.871,0.868,0.003,1.291,1.288,0.003,-3.93,19.44,-23.37
0.328,0.336,-0.008,0.358,0.366,-0.008,0.398,0.396,0.002,0.418,0.426,-0.008,0.608,0.616,-0.008,0.868,0.876,-0.008,1.288,1.296,-0.008,19.44,8.55,10.89
0.336,0.326,0.01,0.366,0.346,0.02,0.396,0.386,0.01,0.426,0.416,0.01,0.616,0.596,0.02,0.876,0.866,0.01,1.296,1.276,0.02,8.55,0.27,8.28
0.326,0.329,-0.003,0.346,0.349,-0.003,0.386,0.389,-0.003,0.416,0.419,-0.003,0.596,0.599,-0.003,0.866,0.869,-0.003,1.276,1.279,-0.003,0.27,-0.33,0.6
0.329,0.32,0.009,0.349,0.34,0.009,0.389,0.38,0.009,0.419,0.41,0.009,0.599,0.59,0.009,0.869,0.86,0.009,1.279,1.27,0.009,-0.33,6.35,-6.68
0.32,0.33,-0.01,0.34,0.35,-0.01,0.38,0.39,-0.01,0.41,0.42,-0.01,0.59,0.6,-0.01,0.86,0.87,-0.01,1.27,1.28,-0.01,6.35,1.84,4.51
0.33,0.325,0.005,0.35,0.345,0.005,0.39,0.385,0.005,0.42,0.415,0.005,0.6,0.605,-0.005,0.87,0.865,0.005,1.28,1.285,-0.005,1.84,1.02,0.82
0.325,0.323,0.002,0.345,0.343,0.002,0.385,0.383,0.002,0.415,0.413,0.002,0.605,0.603,0.002,0.865,0.863,0.002,1.285,1.283,0.002,1.02,-1.59,2.61
0.323,0.321,0.002,0.343,0.341,0.002,0.383,0.381,0.002,0.413,0.411,0.002,0.603,0.601,0.002,0.863,0.861,0.002,1.283,1.281,0.002,-1.59,-6.66,5.07
0.321,0.324,-0.003,0.341,0.354,-0.013,0.381,0.384,-0.003,0.411,0.414,-0.003,0.601,0.604,-0.003,0.861,0.864,-0.003,1.281,1.284,-0.003,-6.66,-0.33,-6.33
0.324,0.32,0.004,0.354,0.35,0.004,0.384,0.39,-0.006,0.414,0.41,0.004,0.604,0.6,0.004,0.864,0.86,0.004,1.284,1.28,0.004,-0.33,3.94,-4.27
0.32,0.319,0.001,0.35,0.349,0.001,0.39,0.379,0.011,0.41,0.409,0.001,0.6,0.599,0.001,0.86,0.859,0.001,1.28,1.279,0.001,3.94,-1.57,5.51
