ID,NAME,TIME,P,CY,DONG,SIZE,F,LAT,LON,D_P,D_HS,D_R,D_U,D_HP,D_M,D_S,BRAND,N_H,N_D,HEAT,HIGHEST,LOWEST,PARK,YONG,GUN
12239,신동아,2011Q3,30000,1992,수서동,33.18,12,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,106,1,개별난방,14,10,0.9,285,26
12240,신동아,2011Q3,30000,1992,수서동,33.18,12,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,1162,8,지역난방,15,15,0.27,203,17
12241,신동아,2015Q4,103000,1997,청담동,84.94,13,37.5181422,127.0440149,825.0207142,241.3455313,1061.116536,1150.481411,507.2352112,845.2761375,261.5516575,0,12,2,개별난방,6,6,0,87,0
12242,신동아,2015Q4,103000,1997,청담동,84.94,13,37.5181422,127.0440149,825.0207142,241.3455313,1061.116536,1150.481411,507.2352112,845.2761375,261.5516575,0,106,1,개별난방,14,10,0.9,285,26
12243,신동아,2015Q4,103000,1997,청담동,84.94,13,37.5181422,127.0440149,825.0207142,241.3455313,1061.116536,1150.481411,507.2352112,845.2761375,261.5516575,0,1162,8,지역난방,15,15,0.27,203,17
12244,신동아,2007Q1,22900,1992,수서동,33.18,3,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,12,2,개별난방,6,6,0,87,0
12245,신동아,2007Q1,22900,1992,수서동,33.18,3,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,106,1,개별난방,14,10,0.9,285,26
12246,신동아,2007Q1,22900,1992,수서동,33.18,3,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,1162,8,지역난방,15,15,0.27,203,17
12247,신동아,2010Q2,41000,1992,수서동,49.96,8,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,12,2,개별난방,6,6,0,87,0
12248,신동아,2010Q2,41000,1992,수서동,49.96,8,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,106,1,개별난방,14,10,0.9,285,26
12249,신동아,2010Q2,41000,1992,수서동,49.96,8,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,1162,8,지역난방,15,15,0.27,203,17
12250,신동아,2015Q1,85000,1997,청담동,84.94,3,37.5269557,127.0531264,629.5201384,854.7543403,967.3347439,2243.900564,926.9376201,1599.87475,874.7194385,0,12,2,개별난방,6,6,0,87,0
12251,신동아,2015Q1,85000,1997,청담동,84.94,3,37.5269557,127.0531264,629.5201384,854.7543403,967.3347439,2243.900564,926.9376201,1599.87475,874.7194385,0,106,1,개별난방,14,10,0.9,285,26
12252,신동아,2015Q1,85000,1997,청담동,84.94,3,37.5269557,127.0531264,629.5201384,854.7543403,967.3347439,2243.900564,926.9376201,1599.87475,874.7194385,0,1162,8,지역난방,15,15,0.27,203,17
12253,신동아,2007Q4,42200,1992,수서동,49.96,9,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,12,2,개별난방,6,6,0,87,0
12254,신동아,2007Q4,42200,1992,수서동,49.96,9,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,106,1,개별난방,14,10,0.9,285,26
12255,신동아,2007Q4,42200,1992,수서동,49.96,9,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,1162,8,지역난방,15,15,0.27,203,17
12256,신동아,2010Q3,45000,1992,수서동,49.96,9,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,12,2,개별난방,6,6,0,87,0
12257,신동아,2010Q3,45000,1992,수서동,49.96,9,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,106,1,개별난방,14,10,0.9,285,26
12258,신동아,2010Q3,45000,1992,수서동,49.96,9,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,1162,8,지역난방,15,15,0.27,203,17
12259,신동아,2008Q2,32000,1992,수서동,33.18,15,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,12,2,개별난방,6,6,0,87,0
12260,신동아,2008Q2,32000,1992,수서동,33.18,15,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,106,1,개별난방,14,10,0.9,285,26
12261,신동아,2008Q2,32000,1992,수서동,33.18,15,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,1162,8,지역난방,15,15,0.27,203,17
